,Client ID,X Coord,Y Coord,Demand,Travel Time,Window Start,Window End
0,1,37.45,95.07,0.33,46.78,47,124
1,2,73.2,59.87,0.26,25.21,164,260
2,3,15.6,15.6,0.6,48.65,209,329
3,4,5.81,86.62,0.31,57.39,145,199
4,5,60.11,70.81,0.27,23.13,24,61
5,6,2.06,96.99,0.43,67.13,156,231
6,7,83.24,21.23,0.18,43.96,279,340
7,8,18.18,18.34,0.58,44.89,241,292
8,9,30.42,52.48,0.14,19.73,57,139
9,10,43.19,29.12,0.69,21.96,37,115
10,11,61.19,13.95,0.56,37.75,282,346
11,12,29.21,36.64,0.22,24.71,264,359
12,13,45.61,78.52,0.11,28.85,239,343
13,14,19.97,51.42,1.24,30.07,278,353
14,15,59.24,4.65,1.09,46.29,104,173
15,16,60.75,17.05,1.12,34.66,132,205
16,17,6.51,94.89,1.18,62.5,259,289
17,18,96.56,80.84,0.2,55.85,79,152
18,19,30.46,9.77,0.6,44.73,45,120
19,20,68.42,44.02,0.26,19.37,89,172
20,21,12.2,49.52,1.31,37.8,166,229
21,22,3.44,90.93,0.97,61.99,273,322
22,23,25.88,66.25,0.56,29.09,302,354
23,24,31.17,52.01,0.19,18.94,94,151
24,25,54.67,18.49,0.54,31.86,82,163
25,26,96.96,77.51,0.56,54.42,161,224
26,27,93.95,89.48,1.12,59.08,60,109
27,28,59.79,92.19,0.99,43.31,79,149
28,29,8.85,19.6,1.34,51.16,54,129
29,30,4.52,32.53,0.76,48.72,82,153
